"upeople_id","X204scmChanges","X257scmChanges","X370scmChanges","X407scmChanges","X187scrChanges","X384scrChanges","X402scrChanges","X420scrChanges","number_of_domain","country","X204linesadded","X204linesremoved","X257linesadded","X257linesremoved","X370linesadded","X370linesremoved","X407linesadded","X407linesremoved","X187ReviewGotMerged","X384ReviewGotMerged","X402ReviewGotMerged","X420ReviewGotMerged","X","in_degree","out_degree","degree","betweenness","clustcoeff","closeness","eigencentrality"
259,2,8,0,5,7,22,53,89,7,9,832,2,1626,1589,0,0,4266,152,7,19,45,75,1,6,6,6,1,0.4,0.05,0.489285823199214
1555,15,0,0,0,0,181,0,0,3,10,3768,1375,0,0,0,0,0,0,0,165,0,0,9,6,6,6,0,0.4,0.0412371134020619,1
2073,17,17,31,13,269,172,58,295,5,6,1272,780,2323,3912,3438,2431,18693,22418,258,163,57,290,2,6,6,6,0,0.4,0.0315789473684211,0.931183600188095
2075,12,0,0,0,0,138,0,0,1,6,2622,992,0,0,0,0,0,0,0,119,0,0,5,6,6,6,0,0.4,0.0470588235294118,0.916877209478903
2318,0,36,27,4,130,1,12,141,4,7,0,0,1729,801,649,447,46,32,121,0,12,138,3,0,0,0,0,0,0.0769230769230769,0.0246897016776198
2319,0,37,0,0,0,0,0,429,4,7,0,0,15029,10019,0,0,0,0,0,0,0,419,4,0,0,0,0,0,0.0769230769230769,0.0246897016776198
2929,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0.0769230769230769,0.0246897016776198
194327,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0.0769230769230769,0.0246897016776198
378243,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0.0769230769230769,0.0246897016776198
432726,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0.0769230769230769,0.0246897016776198
432937,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0.0769230769230769,0.0246897016776198
434498,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0.0769230769230769,0.0246897016776198
443382,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0.0769230769230769,0.0246897016776198
