"upeople_id","no_of_bug_owned","avg_resolution","X208scmChanges","X398scmChanges","X349scrChanges","X408scrChanges","number_of_domain","country","X208linesadded","X208linesremoved","X398linesadded","X398linesremoved","X349ReviewGotMerged","X408ReviewGotMerged","X","in_degree","out_degree","degree","betweenness","clustcoeff","closeness","eigencentrality"
273,3,0,0,2,0,0,7,9,0,0,10,2,0,0,4,0,0,0,0,0,0.0526315789473684,0.00475575987017863
411,3,0,0,22,0,1,4,6,0,0,2050,1693,0,1,3,10,10,10,0,0.266666666666667,0.0277349768875193,0.11231032498675
412,47,72.4043,254,581,0,1,2,7,4125,2615,58572,29018,0,0,5,14,14,14,0,0.021978021978022,0.024896265560166,0.028163233115052
589,17,4.8,13,3187,5,84,4,7,544,5256,491412,404997,5,69,17,30,30,30,4,0.032183908045977,0.0324324324324324,1
670,6,21.3333,1,207,0,3,13,8,3441,0,38008,19911,0,3,2,14,14,14,6,0.153846153846154,0.0325497287522604,0.32909453097762
721,1,47,0,0,0,0,3,10,0,0,0,0,0,0,6,0,0,0,0,0,0.0526315789473684,0.00475575987017863
765,2,0,0,0,0,0,2,10,0,0,0,0,0,0,7,0,0,0,0,0,0.0526315789473684,0.00475575987017863
829,1,0,0,0,0,0,1,7,0,0,0,0,0,0,8,0,0,0,0,0,0.0526315789473684,0.00475575987017863
1569,28,6.1071,0,112,0,16,1,6,0,0,21425,30470,0,15,9,10,10,10,0,0.266666666666667,0.0261248185776488,0.196382213109412
2282,1,7,0,0,0,0,3,7,0,0,0,0,0,0,1,0,0,0,0,0,0.0526315789473684,0.00475575987017863
2542,0,0,0,69,0,0,4,9,0,0,4786,1374,0,0,18,10,10,10,7,0.266666666666667,0.0325497287522604,0.0860852537664253
3082,0,0,0,0,0,0,2,9,0,0,0,0,0,0,19,0,0,0,0,0,0.0526315789473684,0.00475575987017863
378243,0,0,0,0,0,0,13,0,0,0,0,0,0,0,15,0,0,0,0,0,0.0526315789473684,0.00475575987017863
382758,2,0,0,0,0,0,2,0,0,0,0,0,0,0,13,0,0,0,0,0,0.0526315789473684,0.00475575987017863
432600,1117,55.6957,0,0,0,0,1,0,0,0,0,0,0,0,10,0,0,0,0,0,0.0526315789473684,0.00475575987017863
432620,5,302.4,0,0,0,0,1,0,0,0,0,0,0,0,12,0,0,0,0,0,0.0526315789473684,0.00475575987017863
432896,1,0,0,0,0,0,1,0,0,0,0,0,0,0,16,0,0,0,0,0,0.0526315789473684,0.00475575987017863
433641,6,310.1667,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0.0526315789473684,0.00475575987017863
433973,1,0,0,0,0,0,1,0,0,0,0,0,0,0,14,0,0,0,0,0,0.0526315789473684,0.00475575987017863
