"upeople_id","no_of_review_by_the_author_got_merged","AVG_Merge_Time","X42scmChanges","X211scmChanges","X289scmChanges","X291scmChanges","X394scmChanges","X403scrChanges","X1mslChanges","X2mslChanges","X4mslChanges","X5mslChanges","number_of_domain","country","X42linesadded","X42linesremoved","X211linesadded","X211linesremoved","X289linesadded","X289linesremoved","X291linesadded","X291linesremoved","X394linesadded","X394linesremoved","X403ReviewGotMerged","X","in_degree","out_degree","degree","betweenness","clustcoeff","closeness","eigencentrality"
498,23,0,87,1925,57,178,36,25,30,0,400,400,3,9,1496,944,146600,96190,1521,571,14417,4632,212,219,23,4,2,2,2,0,0,0.100917431192661,0.0426935460079457
499,37,0,5,3276,4,14,0,52,16,1,323,104,5,6,7,7,848029,459460,13,0,602,74,0,0,37,5,4,4,4,0,0.333333333333333,0.092436974789916,0.932121907810842
500,0,0,11,1962,1,270,0,1,13,0,197,513,6,10,70,101,545441,477039,233,233,42430,22988,0,0,0,3,0,0,0,0,0,0.0833333333333333,0.00083309211055507
501,0,0,2,192,0,0,2,0,1,0,75,70,3,8,8,1,17323,8928,0,0,0,0,348,73,0,1,0,0,0,0,0,0.0833333333333333,0.00083309211055507
502,6,0,6,1246,4,30,40,7,8,0,167,415,5,8,66,14,196577,109747,0,0,29726,89,514,262,6,2,2,2,2,0,0,0.0909090909090909,0.214105478437984
503,0,0,1,137,0,12,0,0,0,0,14,78,3,9,8,0,23242,6874,0,0,851,346,0,0,0,9,0,0,0,0,0,0.0833333333333333,0.00083309211055507
504,1,0,1,392,0,6,0,164,0,0,57,122,2,10,8,0,42143,27482,0,0,223,3,0,0,1,10,8,8,8,5,0.0714285714285714,0.10377358490566,1
589,0,0,0,0,0,0,0,0,0,0,0,0,4,7,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0.0833333333333333,0.00083309211055507
2079,0,0,0,32,0,0,0,0,0,0,13,0,2,7,0,0,440,204,0,0,0,0,0,0,0,7,0,0,0,0,0,0.0833333333333333,0.00083309211055507
2080,0,0,0,19,0,0,0,0,0,0,6,0,1,8,0,0,1554,74,0,0,0,0,0,0,0,6,0,0,0,0,0,0.0833333333333333,0.00083309211055507
2081,47,0,0,1742,0,15,0,55,0,0,103,218,5,6,0,0,381054,275417,0,0,1025,327,0,0,47,8,4,4,4,3,0.333333333333333,0.0973451327433628,0.379565124836005
425353,0,0,0,0,0,0,0,0,0,0,6,6,1,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0.0833333333333333,0.00083309211055507
